customer;state;customer lifetime value;gender;income;monthly premium auto;policy type;total claim amount;vehicle class
AI49188;Nevada;1288743.17;F;48767;108;Personal Auto;566.472247;Two-Door Car
GA49547;Washington;536307.65;M;36357;68;Personal Auto;17.269323;Four-Door Car
OC83172;Oregon;825629.78;F;62902;69;Personal Auto;159.383042;Two-Door Car
XZ87318;Oregon;538089.86;F;55350;67;Corporate Auto;321.6;Four-Door Car
DY87989;Oregon;2412750.4;M;14072;71;Corporate Auto;511.2;Four-Door Car
BQ94931;Oregon;738817.81;F;28812;93;Special Auto;425.527834;Four-Door Car
DP39365;California;879879.7;;77026;110;Corporate Auto;472.029737;Four-Door Car
SJ95423;Arizona;881901.89;;99845;110;Corporate Auto;528;SUV
IL66569;California;538443.17;;83689;70;Corporate Auto;307.139132;Four-Door Car
BW63560;Oregon;746313.94;;24599;64;Corporate Auto;42.920271;Four-Door Car
FV94802;Nevada;256686.78;;25049;67;Personal Auto;454.245098;Two-Door Car
OE15005;Cali;394524.16;;28855;101;Personal Auto;647.442031;SUV
WC83389;Oregon;571033.31;;51148;72;Personal Auto;308.981664;Four-Door Car
FL50705;California;816261.71;;66140;101;Corporate Auto;484.8;Four-Door Car
ZK25313;Oregon;287205.13;;57749;74;Personal Auto;355.2;Two-Door Car
QK46697;Washington;617710.93;M;61040;79;Personal Auto;20.382876;Two-Door Car
YH23384;Arizona;2412750.4;;14072;71;Personal Auto;511.2;Four-Door Car
HM55802;California;239210.79;;17870;61;Corporate Auto;439.2;Four-Door Car
FS42516;Oregon;580206.6;;97541;72;Personal Auto;389.185006;Four-Door Car
HS14476;Washington;916206.32;M;29723;80;Personal Auto;20.985105;Four-Door Car
GE62437;AZ;1290256.01;;86584;111;Personal Auto;532.8;Four-Door Car
EJ77678;Oregon;323536.05;;75690;80;Personal Auto;384;Four-Door Car
SV85652;Arizona;245458.35;;23158;63;Personal Auto;322.294043;Four-Door Car
UL64533;Nevada;1897545.61;;65999;237;Corporate Auto;615.927769;Luxury SUV
SK67821;Oregon;493291.63;;37260;62;Corporate Auto;15.437681;Four-Door Car
YV55495;Arizona;574422.97;;68987;71;Personal Auto;204.475147;Four-Door Car
KY38074;California;1389173.57;;42305;117;Personal Auto;561.6;Four-Door Car
DM79012;Oregon;738097.67;;65706;91;Personal Auto;436.8;Four-Door Car
WC35801;Arizona;252163.31;;53243;66;Personal Auto;157.397849;Four-Door Car
MB98372;Oregon;277104.5;;50071;71;Corporate Auto;18.918935;Two-Door Car
IL19217;California;393900.64;;60021;99;Personal Auto;882.871945;Four-Door Car
SR38658;Arizona;1223187.97;;43244;103;Personal Auto;494.4;Sports Car
YD87931;Washington;495165.61;M;46896;35354;Personal Auto;31.707317;Four-Door Car
HG65722;Oregon;1281910.29;;10105;172;Personal Auto;0.517753;SUV
XM45289;Oregon;551434.4;;23218;71;Personal Auto;447.79344;Two-Door Car
WE95729;Oregon;3670742.64;;24804;104;Personal Auto;593.830288;SUV
